run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,iterations,purification_level,twirling_enabled,bloch_r_init,bloch_r_final
M1_N2_depolarizing_iid_p_p0.30000,1,2,depolarizing,iid_p,0.3,0.3,0.8,1,0.2,1.11E-16,0.68,1,5.55E-16,7,1,7,TRUE,0.6,1
M1_N2_depolarizing_iid_p_p0.30000,1,2,depolarizing,iid_p,0.3,0.3,0.8,1,0.2,1.11E-16,0.68,1,5.55E-16,8,1,8,TRUE,0.6,1
M1_N2_depolarizing_iid_p_p0.30000,1,2,depolarizing,iid_p,0.3,0.3,0.8,1,0.2,1.11E-16,0.68,1,5.55E-16,9,1,9,TRUE,0.6,1
M1_N2_depolarizing_iid_p_p0.30000,1,2,depolarizing,iid_p,0.3,0.3,0.8,1,0.2,1.11E-16,0.68,1,5.55E-16,10,1,10,TRUE,0.6,1
M1_N2_depolarizing_iid_p_p0.40000,1,2,depolarizing,iid_p,0.4,0.4,0.7333333333,0.7333333333,0.2666666667,0.2666666667,0.6088888889,0.6088888889,1,0,1,0,TRUE,0.4666666667,0.4666666667
M1_N2_depolarizing_iid_p_p0.40000,1,2,depolarizing,iid_p,0.4,0.4,0.7333333333,0.8832116788,0.2666666667,0.1167883212,0.6088888889,0.7937023816,0.4379562044,1,1,1,TRUE,0.4666666667,0.7664233577
M1_N2_depolarizing_iid_p_p0.40000,1,2,depolarizing,iid_p,0.4,0.4,0.7333333333,0.9828153319,0.2666666667,0.01718466805,0.6088888889,0.9662212895,0.0644425052,2,1,2,TRUE,0.4666666667,0.9656306639
M1_N2_depolarizing_iid_p_p0.40000,1,2,depolarizing,iid_p,0.4,0.4,0.7333333333,0.9996943632,0.2666666667,0.0003056368343,0.6088888889,0.9993889132,0.001146138128,3,1,3,TRUE,0.4666666667,0.9993887263
M1_N2_depolarizing_iid_p_p0.40000,1,2,depolarizing,iid_p,0.4,0.4,0.7333333333,0.9999999065,0.2666666667,9.35E-08,0.6088888889,0.9999998131,3.51E-07,4,1,4,TRUE,0.4666666667,0.9999998131
M1_N2_depolarizing_iid_p_p0.40000,1,2,depolarizing,iid_p,0.4,0.4,0.7333333333,1,0.2666666667,8.66E-15,0.6088888889,1,3.25E-14,5,1,5,TRUE,0.4666666667,1
M1_N2_depolarizing_iid_p_p0.40000,1,2,depolarizing,iid_p,0.4,0.4,0.7333333333,1,0.2666666667,1.11E-16,0.6088888889,1,4.16E-16,6,1,6,TRUE,0.4666666667,1
