run_id,iteration,merge_num,M,depth,copies_used,N_so_far,noise,mode,p,p_channel,P_success,grover_iters,twirling_applied,purification_level,fidelity,eps_L,purity,bloch_r,fidelity_before_noise,fidelity_after_noise,eps_L_before_noise,eps_L_after_noise,purity_before_noise,purity_after_noise
M1_N2_depolarizing_iid_p_p0.40000,1,0,1,3,8,8,depolarizing,iid_p,0.4,0.4,1,0,TRUE,3,0.9996943632,0.0003056368343,0.9993889132,0.9993887263,1,0.7333333333,0.0003056368343,0.2666666667,0.9993889132,0.6088888889
M1_N2_depolarizing_iid_p_p0.40000,1,0,1,4,16,16,depolarizing,iid_p,0.4,0.4,1,0,TRUE,4,0.9999999065,9.35E-08,0.9999998131,0.9999998131,1,0.7333333333,9.35E-08,0.2666666667,0.9999998131,0.6088888889
M1_N2_depolarizing_iid_p_p0.40000,1,0,1,5,32,32,depolarizing,iid_p,0.4,0.4,1,0,TRUE,5,1,8.66E-15,1,1,1,0.7333333333,8.66E-15,0.2666666667,1,0.6088888889
M1_N2_depolarizing_iid_p_p0.40000,1,0,1,6,64,64,depolarizing,iid_p,0.4,0.4,1,0,TRUE,6,1,1.11E-16,1,1,1,0.7333333333,1.11E-16,0.2666666667,1,0.6088888889
M1_N2_depolarizing_iid_p_p0.40000,1,0,1,7,128,128,depolarizing,iid_p,0.4,0.4,1,0,TRUE,7,1,1.11E-16,1,1,1,0.7333333333,1.11E-16,0.2666666667,1,0.6088888889
M1_N2_depolarizing_iid_p_p0.40000,1,0,1,8,256,256,depolarizing,iid_p,0.4,0.4,1,0,TRUE,8,1,1.11E-16,1,1,1,0.7333333333,1.11E-16,0.2666666667,1,0.6088888889
M1_N2_depolarizing_iid_p_p0.40000,1,0,1,9,512,512,depolarizing,iid_p,0.4,0.4,1,0,TRUE,9,1,1.11E-16,1,1,1,0.7333333333,1.11E-16,0.2666666667,1,0.6088888889
M1_N2_depolarizing_iid_p_p0.40000,1,0,1,10,1024,1024,depolarizing,iid_p,0.4,0.4,1,0,TRUE,10,1,1.11E-16,1,1,1,0.7333333333,1.11E-16,0.2666666667,1,0.6088888889
M1_N2_depolarizing_iid_p_p0.50000,1,0,1,0,1,1,depolarizing,iid_p,0.5,0.5,1,0,TRUE,0,0.6666666667,0.3333333333,0.5555555556,0.3333333333,1,0.6666666667,0.3333333333,0.3333333333,0.5555555556,0.5555555556
M1_N2_depolarizing_iid_p_p0.50000,1,0,1,1,2,2,depolarizing,iid_p,0.5,0.5,1,0,TRUE,1,0.8,0.2,0.68,0.6,1,0.6666666667,0.2,0.3333333333,0.68,0.5555555556
