run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,twirling_enabled,bloch_r_init,bloch_r_final
M2_N1024_dephase_z_iid_p_p0.70000_twirl,2,1024,dephase_z,iid_p,0.7,0.7,0.3000000000000001,0.0019129048198464,0.6999999999999997,0.9980870951801536,0.5800000000000005,0.9961815087700064,1.42583870740022,10,True,,
M2_N1024_dephase_z_iid_p_p0.75000_twirl,2,1024,dephase_z,iid_p,0.75,0.75,0.2499999999999998,0.0009982063527182,0.7499999999999997,0.9990017936472818,0.6249999999999996,0.9980055801264092,1.3320023915297097,10,True,,
M2_N1024_dephase_z_iid_p_p0.80000_twirl,2,1024,dephase_z,iid_p,0.8,0.8,0.1999999999999998,0.0005478214872705,0.7999999999999996,0.999452178512729,0.6799999999999996,0.9989049572422224,1.249315223140912,10,True,,
M2_N1024_dephase_z_iid_p_p0.90000_twirl,2,1024,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0001526879573356,0.8999999999999997,0.9998473120426644,0.8199999999999995,0.9996946707125528,1.110941457825183,10,True,,
M3_N2_dephase_z_iid_p_p0.01000_twirl,3,2,dephase_z,iid_p,0.01,0.01,0.9800999999999996,0.9897510650849028,0.0198999999999997,0.0102489349150966,0.96079204,0.9796591723265066,0.515021855029986,1,True,,
M3_N2_dephase_z_iid_p_p0.10000_twirl,3,2,dephase_z,iid_p,0.1,0.1,0.8099999999999994,0.8766443434585025,0.1899999999999998,0.1233556565414969,0.6723999999999996,0.7754233497042838,0.6492402975868264,1,True,,
M3_N2_dephase_z_iid_p_p0.20000_twirl,3,2,dephase_z,iid_p,0.2,0.2,0.6399999999999995,0.7177242888402624,0.3599999999999999,0.282275711159737,0.4623999999999996,0.5481520141346142,0.7840991976659365,1,True,,
M3_N2_dephase_z_iid_p_p0.30000_twirl,3,2,dephase_z,iid_p,0.3,0.3,0.4899999999999997,0.546318467524693,0.5099999999999998,0.4536815324753066,0.3364,0.3761570103816594,0.8895716323045232,1,True,,
M3_N2_dephase_z_iid_p_p0.40000_twirl,3,2,dephase_z,iid_p,0.4,0.4,0.3599999999999999,0.3853904282115867,0.6399999999999998,0.6146095717884128,0.2704,0.2796223565913114,0.9603274559193952,1,True,,
M3_N2_dephase_z_iid_p_p0.50000_twirl,3,2,dephase_z,iid_p,0.5,0.5,0.25,0.2499999999999999,0.75,0.7499999999999999,0.2500000000000003,0.25,1.0,1,True,,
M3_N2_dephase_z_iid_p_p0.60000_twirl,3,2,dephase_z,iid_p,0.6,0.6,0.1599999999999999,0.1460957178841309,0.84,0.8539042821158687,0.2704,0.2796223565913114,1.0165527168046056,1,True,,
M3_N2_dephase_z_iid_p_p0.70000_twirl,3,2,dephase_z,iid_p,0.7,0.7,0.09,0.0734061658186172,0.9100000000000004,0.9265938341813824,0.3364000000000004,0.3761570103816593,1.0182349826169037,1,True,,
M3_N2_dephase_z_iid_p_p0.75000_twirl,3,2,dephase_z,iid_p,0.75,0.75,0.0624999999999999,0.047752808988764,0.9375,0.952247191011236,0.3906249999999996,0.4530046711273827,1.0157303370786517,1,True,,
M3_N2_dephase_z_iid_p_p0.80000_twirl,3,2,dephase_z,iid_p,0.8,0.8,0.0399999999999999,0.0284463894967177,0.9599999999999996,0.9715536105032818,0.4623999999999996,0.5481520141346138,1.012035010940919,1,True,,
M3_N2_dephase_z_iid_p_p0.90000_twirl,3,2,dephase_z,iid_p,0.9,0.9,0.0099999999999999,0.0060392250657737,0.9899999999999998,0.9939607749342264,0.6723999999999994,0.7754233497042838,1.004000782761845,1,True,,
M3_N4_dephase_z_iid_p_p0.01000_twirl,3,4,dephase_z,iid_p,0.01,0.01,0.9800999999999996,0.9947842440465414,0.0198999999999997,0.0052157559534578,0.96079204,0.9896092246434484,0.2620982891184891,2,True,,
M3_N4_dephase_z_iid_p_p0.10000_twirl,3,4,dephase_z,iid_p,0.1,0.1,0.8099999999999994,0.9255799088317538,0.1899999999999998,0.0744200911682456,0.6723999999999996,0.8592988435691036,0.3916846903591877,2,True,,
M3_N4_dephase_z_iid_p_p0.20000_twirl,3,4,dephase_z,iid_p,0.2,0.2,0.6399999999999995,0.7935545727275537,0.3599999999999999,0.2064454272724458,0.4623999999999996,0.6481016152689192,0.5734595202012386,2,True,,
M3_N4_dephase_z_iid_p_p0.30000_twirl,3,4,dephase_z,iid_p,0.3,0.3,0.4899999999999997,0.6109997069699247,0.5099999999999998,0.3890002930300749,0.3364,0.4322618167750547,0.7627456726079903,2,True,,
M3_N4_dephase_z_iid_p_p0.40000_twirl,3,4,dephase_z,iid_p,0.4,0.4,0.3599999999999999,0.4161295120983734,0.6399999999999998,0.583870487901626,0.2704,0.2931144181222042,0.9122976373462908,2,True,,
M3_N4_dephase_z_iid_p_p0.50000_twirl,3,4,dephase_z,iid_p,0.5,0.5,0.25,0.2499999999999998,0.75,0.75,0.2500000000000003,0.2499999999999999,1.0,2,True,,
M3_N4_dephase_z_iid_p_p0.60000_twirl,3,4,dephase_z,iid_p,0.6,0.6,0.1599999999999999,0.1297352241174136,0.84,0.8702647758825858,0.2704,0.2931144181222042,1.0360294950983164,2,True,,
