run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,twirling_enabled,bloch_r_init,bloch_r_final
M3_N16_dephase_z_iid_p_p0.80000_twirl,3,16,dephase_z,iid_p,0.8,0.8,0.9999999999999992,0.107437461357723,1.9336239697862752e-16,0.8925625386422767,0.9999999999999992,0.1255884790247532,4616008865161784.0,4,True,,
M3_N16_dephase_z_iid_p_p0.90000_twirl,3,16,dephase_z,iid_p,0.9,0.9,0.9999999999999992,0.0641843196889951,1.9336239697862752e-16,0.9358156803110048,0.9999999999999992,0.1360724499249477,4839698384657702.0,4,True,,
M3_N32_dephase_z_iid_p_p0.01000_twirl,3,32,dephase_z,iid_p,0.01,0.01,0.9999999999999996,0.9993523312683452,2.9373740229761033e-16,0.000647668731654,1.0,0.9987052216764916,2204924284711.3125,5,True,,
M3_N32_dephase_z_iid_p_p0.10000_twirl,3,32,dephase_z,iid_p,0.1,0.1,0.9999999999999992,0.9894508592791038,1.9336239697862752e-16,0.0105491407208954,0.9999999999999992,0.9790494471139218,54556319562285.41,5,True,,
M3_N32_dephase_z_iid_p_p0.20000_twirl,3,32,dephase_z,iid_p,0.2,0.2,0.9999999999999992,0.9615201370975668,1.9336239697862752e-16,0.0384798629024324,0.9999999999999992,0.9249867254457396,199003857542610.2,5,True,,
M3_N32_dephase_z_iid_p_p0.30000_twirl,3,32,dephase_z,iid_p,0.3,0.3,0.9999999999999996,0.889965242347019,2.9373740229761033e-16,0.1100347576529803,1.0,0.795545504659446,374602474156474.0,5,True,,
M3_N32_dephase_z_iid_p_p0.40000_twirl,3,32,dephase_z,iid_p,0.4,0.4,0.9999999999999996,0.7325155536246695,2.9373740229761033e-16,0.2674844463753297,1.0,0.5545310750891835,910624402214596.0,5,True,,
M3_N32_dephase_z_iid_p_p0.50000_twirl,3,32,dephase_z,iid_p,0.5,0.5,1.0000000000000002,0.498335207645693,5.87474804595221e-16,0.5016647923543065,1.000000000000001,0.3001041023019094,853934140545757.1,5,True,,
M3_N32_dephase_z_iid_p_p0.60000_twirl,3,32,dephase_z,iid_p,0.6,0.6,0.9999999999999996,0.2920374052147645,2.9373740229761033e-16,0.7079625947852353,1.0,0.1693318654968554,2410188791919451.0,5,True,,
M3_N32_dephase_z_iid_p_p0.70000_twirl,3,32,dephase_z,iid_p,0.7,0.7,1.0000000000000002,0.1635002960744545,5.87474804595221e-16,0.8364997039255453,1.000000000000001,0.1290517949436994,1423890347947613.5,5,True,,
M3_N32_dephase_z_iid_p_p0.80000_twirl,3,32,dephase_z,iid_p,0.8,0.8,0.9999999999999992,0.0903662376308501,1.9336239697862752e-16,0.9096337623691496,0.9999999999999992,0.128118423402643,4704295026243868.0,5,True,,
M3_N32_dephase_z_iid_p_p0.90000_twirl,3,32,dephase_z,iid_p,0.9,0.9,0.9999999999999992,0.049957298834216,1.9336239697862752e-16,0.9500427011657842,0.9999999999999992,0.1496497139474452,4913275362793487.0,5,True,,
M3_N64_dephase_z_iid_p_p0.01000_twirl,3,64,dephase_z,iid_p,0.01,0.01,0.9999999999999996,0.9996757936699424,2.9373740229761033e-16,0.0003242063300568,1.0,0.9993517274660862,1103728457870.411,6,True,,
M3_N64_dephase_z_iid_p_p0.10000_twirl,3,64,dephase_z,iid_p,0.1,0.1,0.9999999999999992,0.9946287364221298,1.9336239697862752e-16,0.0053712635778695,0.9999999999999992,0.989295851524749,27778221938690.785,6,True,,
M3_N64_dephase_z_iid_p_p0.20000_twirl,3,64,dephase_z,iid_p,0.2,0.2,0.9999999999999992,0.9795212024371724,1.9336239697862752e-16,0.020478797562827,0.9999999999999992,0.9595970427811136,105908893780886.31,6,True,,
M3_N64_dephase_z_iid_p_p0.30000_twirl,3,64,dephase_z,iid_p,0.3,0.3,0.9999999999999996,0.9353289505097818,2.9373740229761033e-16,0.0646710494902174,1.0,0.8761128264670008,220166206224884.25,6,True,,
M3_N64_dephase_z_iid_p_p0.40000_twirl,3,64,dephase_z,iid_p,0.4,0.4,0.9999999999999996,0.8116041256035313,2.9373740229761033e-16,0.188395874396468,1.0,0.668214802672616,641375163403903.8,6,True,,
M3_N64_dephase_z_iid_p_p0.50000_twirl,3,64,dephase_z,iid_p,0.5,0.5,1.0000000000000002,0.5682690375048471,5.87474804595221e-16,0.4317309624951522,1.000000000000001,0.3634106631826974,734892729216909.0,6,True,,
M3_N64_dephase_z_iid_p_p0.60000_twirl,3,64,dephase_z,iid_p,0.6,0.6,0.9999999999999996,0.3221053432308634,2.9373740229761033e-16,0.6778946567691365,1.0,0.1827017455339984,2307825464059574.5,6,True,,
M3_N64_dephase_z_iid_p_p0.70000_twirl,3,64,dephase_z,iid_p,0.7,0.7,1.0000000000000002,0.1714334451297386,5.87474804595221e-16,0.828566554870261,1.000000000000001,0.1299910239256929,1410386536391388.0,6,True,,
M3_N64_dephase_z_iid_p_p0.80000_twirl,3,64,dephase_z,iid_p,0.8,0.8,0.9999999999999992,0.0900983103152101,1.9336239697862752e-16,0.9099016896847896,0.9999999999999992,0.1287648232905837,4705680648887291.0,6,True,,
M3_N64_dephase_z_iid_p_p0.90000_twirl,3,64,dephase_z,iid_p,0.9,0.9,0.9999999999999992,0.0474204841211709,1.9336239697862752e-16,0.9525795158788286,0.9999999999999992,0.1562083832795764,4926394845964379.0,6,True,,
M3_N128_dephase_z_iid_p_p0.01000_twirl,3,128,dephase_z,iid_p,0.01,0.01,0.9999999999999996,0.9998357523033178,2.9373740229761033e-16,0.0001642476966816,1.0,0.9996715405737552,559165075325.4924,7,True,,
M3_N128_dephase_z_iid_p_p0.10000_twirl,3,128,dephase_z,iid_p,0.1,0.1,0.9999999999999992,0.9972352892111588,1.9336239697862752e-16,0.0027647107888404,0.9999999999999992,0.9944807576418256,14298078799395.52,7,True,,
