run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,twirling_enabled,iterations,purification_level
M5_N2_depolarizing_iid_p_p0.30000,5,2,dephase_z,iid_p,0.3,0.3,0.32768,0.5095031836,0.67232,0.4904968164,0.1453933568,0.2833303203,0.7295585679,3,TRUE,1,3
M5_N4_depolarizing_iid_p_p0.10000,5,4,dephase_z,iid_p,0.1,0.1,0.7082455967,0.8970826079,0.2917544033,0.1029173921,0.5145392869,0.806464665,0.3527535179,6,TRUE,2,3
M5_N4_depolarizing_iid_p_p0.30000,5,4,dephase_z,iid_p,0.3,0.3,0.32768,0.2630925967,0.67232,0.7369074033,0.1453933568,0.1046809484,1.096066461,6,TRUE,2,3
M5_N8_depolarizing_iid_p_p0.10000,5,8,dephase_z,iid_p,0.1,0.1,0.7082455967,0.8855235542,0.2917544033,0.1144764458,0.5145392869,0.7862263729,0.3923726412,9,TRUE,3,3
M5_N8_depolarizing_iid_p_p0.30000,5,8,dephase_z,iid_p,0.3,0.3,0.32768,0.1443372542,0.67232,0.8556627458,0.1453933568,0.05575432947,1.272701609,9,TRUE,3,3
M5_N16_depolarizing_iid_p_p0.10000,5,16,dephase_z,iid_p,0.1,0.1,0.7082455967,0.8802711348,0.2917544033,0.1197288652,0.5145392869,0.7771280905,0.4103755209,12,TRUE,4,3
M5_N16_depolarizing_iid_p_p0.30000,5,16,dephase_z,iid_p,0.3,0.3,0.32768,0.09004627138,0.67232,0.9099537286,0.1453933568,0.04054986276,1.353453309,12,TRUE,4,3
M5_N32_depolarizing_iid_p_p0.10000,5,32,dephase_z,iid_p,0.1,0.1,0.7082455967,0.8778189511,0.2917544033,0.1221810489,0.5145392869,0.7729013043,0.4187804796,15,TRUE,5,3
M5_N32_depolarizing_iid_p_p0.30000,5,32,dephase_z,iid_p,0.3,0.3,0.32768,0.06403938492,0.67232,0.9359606151,0.1453933568,0.03503613637,1.392135613,15,TRUE,5,3
M5_N64_depolarizing_iid_p_p0.10000,5,64,dephase_z,iid_p,0.1,0.1,0.7082455967,0.876659901,0.2917544033,0.123340099,0.5145392869,0.7709080973,0.4227531704,18,TRUE,6,3
M5_N64_depolarizing_iid_p_p0.30000,5,64,dephase_z,iid_p,0.3,0.3,0.32768,0.05054126978,0.67232,0.9494587302,0.1453933568,0.03284119628,1.412212533,18,TRUE,6,3
M5_N128_depolarizing_iid_p_p0.10000,5,128,dephase_z,iid_p,0.1,0.1,0.7082455967,0.8761089077,0.2917544033,0.1238910923,0.5145392869,0.7699616003,0.4246417222,21,TRUE,7,3
M5_N128_depolarizing_iid_p_p0.30000,5,128,dephase_z,iid_p,0.3,0.3,0.32768,0.04302652064,0.67232,0.9569734794,0.1453933568,0.03192804454,1.423389873,21,TRUE,7,3
M5_N256_depolarizing_iid_p_p0.10000,5,256,dephase_z,iid_p,0.1,0.1,0.7082455967,0.8758462601,0.2917544033,0.1241537399,0.5145392869,0.7695106597,0.4255419577,24,TRUE,8,3
M5_N256_depolarizing_iid_p_p0.30000,5,256,dephase_z,iid_p,0.3,0.3,0.32768,0.03861873721,0.67232,0.9613812628,0.1453933568,0.03154066116,1.429945953,24,TRUE,8,3
M5_N512_depolarizing_iid_p_p0.10000,5,512,dephase_z,iid_p,0.1,0.1,0.7082455967,0.8757208989,0.2917544033,0.1242791011,0.5145392869,0.7692954806,0.4259716381,27,TRUE,9,3
M5_N512_depolarizing_iid_p_p0.30000,5,512,dephase_z,iid_p,0.3,0.3,0.32768,0.03593657218,0.67232,0.9640634278,0.1453933568,0.03137492045,1.43393537,27,TRUE,9,3
M5_N1024_depolarizing_iid_p_p0.10000,5,1024,dephase_z,iid_p,0.1,0.1,0.7082455967,0.8756610275,0.2917544033,0.1243389725,0.5145392869,0.769192725,0.4261768499,30,TRUE,10,3
M5_N1024_depolarizing_iid_p_p0.30000,5,1024,dephase_z,iid_p,0.3,0.3,0.32768,0.03426288392,0.67232,0.9657371161,0.1453933568,0.03130374792,1.436424792,30,TRUE,10,3
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
,,,dephase_z,,,,,,,,,,,,TRUE,,
