run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,twirling_enabled,iterations,purification_level
M5_N256_depolarizing_iid_p_p0.90000,5,256,depolarizing,iid_p,0.9,0.9,0.0102399999999999,0.0312508291879197,0.9897599999999992,0.9687491708120805,0.0380204031999999,0.0312500000044002,0.9787717939824616,24,False,8,3
M5_N512_depolarizing_iid_p_p0.60000,5,512,depolarizing,iid_p,0.6,0.6,0.0777599999999998,0.0312501813736051,0.9222399999999994,0.9687498186263944,0.0380204031999999,0.0312500000002105,1.050431361279488,27,False,9,3
M5_N512_depolarizing_iid_p_p0.70000,5,512,depolarizing,iid_p,0.7,0.7,0.0431512757201645,0.0312500000091118,0.956848724279834,0.9687499999908872,0.0319506447798133,0.0312499999999999,1.0124379908851426,27,False,9,3
M5_N512_depolarizing_iid_p_p0.80000,5,512,depolarizing,iid_p,0.8,0.8,0.0221326748971192,0.031249999990888,0.9778673251028792,0.9687500000091118,0.0319506447798132,0.0312499999999999,0.9906763168584162,27,False,9,3
M5_N512_depolarizing_iid_p_p0.90000,5,512,depolarizing,iid_p,0.9,0.9,0.0102399999999999,0.0312498186272853,0.9897599999999992,0.9687501813727146,0.0380204031999999,0.0312500000002105,0.978772814998298,27,False,9,3
M5_N1024_depolarizing_iid_p_p0.60000,5,1024,depolarizing,iid_p,0.6,0.6,0.0777599999999998,0.0312500396732865,0.9222399999999994,0.9687499603267132,0.0380204031999999,0.03125000000001,1.0504315149274743,30,False,10,3
M5_N1024_depolarizing_iid_p_p0.70000,5,1024,depolarizing,iid_p,0.7,0.7,0.0431512757201645,0.0312500000006643,0.956848724279834,0.9687499999993352,0.0319506447798133,0.0312499999999999,1.0124379908939718,30,False,10,3
M5_N1024_depolarizing_iid_p_p0.80000,5,1024,depolarizing,iid_p,0.8,0.8,0.0221326748971192,0.0312500000006643,0.9778673251028792,0.9687499999993356,0.0319506447798132,0.03125,0.9906763168484186,30,False,10,3
M5_N1024_depolarizing_iid_p_p0.90000,5,1024,depolarizing,iid_p,0.9,0.9,0.0102399999999999,0.0312500396732865,0.9897599999999992,0.9687499603267132,0.0380204031999999,0.03125000000001,0.9787725916653672,30,False,10,3
M5_N2_depolarizing_iid_p_p0.10000,5,2,depolarizing,iid_p,0.1,0.1,0.7082455967078174,0.9241889090017974,0.291754403292181,0.0758110909982014,0.5145392868552681,0.8550940885766707,0.2598455760829753,3,False,1,3
M5_N2_depolarizing_iid_p_p0.30000,5,2,depolarizing,iid_p,0.3,0.3,0.3276799999999996,0.5095031836055759,0.6723199999999995,0.4904968163944227,0.1453933567999998,0.2833303203217266,0.7295585679355413,3,False,1,3
