noise_type,dimension,N,physical_error_rate,batch_memory,streaming_memory,memory_improvement_factor,batch_final_error,streaming_best_error,streaming_average_error,streaming_output_count,batch_swaps,streaming_swaps,batch_amplifications,streaming_amplifications,batch_convergence,streaming_convergence
depolarizing,64,32,0.5,32,5,6.4,0.06567604518417296,0.06567604518417296,0.06567604518417296,1,31,31,0,0,True,True
depolarizing,64,32,0.7,32,5,6.4,0.26325496977290685,0.26325496977290685,0.26325496977290685,1,31,31,0,0,True,True
depolarizing,64,64,0.01,64,6,10.666666666666666,0.00015688665065111303,0.00015688665065111303,0.00015688665065111303,1,63,63,0,0,True,True
depolarizing,64,64,0.1,64,6,10.666666666666666,0.0018986541252300447,0.0018986541252300447,0.0018986541252300447,1,63,63,0,0,True,True
depolarizing,64,64,0.5,64,6,10.666666666666666,0.035100623499036095,0.035100623499036095,0.035100623499036095,1,63,63,0,0,True,True
depolarizing,64,64,0.7,64,6,10.666666666666666,0.1712262252467296,0.1712262252467296,0.1712262252467296,1,63,63,0,0,True,True
depolarizing,64,128,0.01,128,7,18.285714285714285,7.845582836157709e-05,7.845582836157709e-05,7.845582836157709e-05,1,127,127,0,0,True,True
depolarizing,64,128,0.1,128,7,18.285714285714285,0.0009511598547901744,0.0009511598547901744,0.0009511598547901744,1,127,127,0,0,True,True
depolarizing,64,128,0.5,128,7,18.285714285714285,0.018187086457046725,0.018187086457046725,0.018187086457046725,1,127,127,0,0,True,True
depolarizing,64,128,0.7,128,7,18.285714285714285,0.1017533384087666,0.1017533384087666,0.1017533384087666,1,127,127,0,0,True,True
depolarizing,64,256,0.01,256,8,32.0,3.9231040813561546e-05,3.9231040813561546e-05,3.9231040813561546e-05,1,255,255,0,0,True,True
depolarizing,64,256,0.1,256,8,32.0,0.00047603967866984877,0.00047603967866984877,0.00047603967866984877,1,255,255,0,0,True,True
depolarizing,64,256,0.5,256,8,32.0,0.009263080542677207,0.009263080542677207,0.009263080542677207,1,255,255,0,0,True,True
depolarizing,64,256,0.7,256,8,32.0,0.056401239607226025,0.056401239607226025,0.056401239607226025,1,255,255,0,0,True,True
symmetric_pauli,2,8,0.01,8,3,2.6666666666666665,0.008865459994826606,0.008865459994826413,0.008865459994826413,1,7,7,0,0,True,True
symmetric_pauli,2,8,0.1,8,3,2.6666666666666665,0.153098522286381,0.15309852228638107,0.15309852228638107,1,7,7,0,0,True,False
symmetric_pauli,2,16,0.01,16,4,4.0,0.007946351197785818,0.007946351197785652,0.007946351197785652,1,15,15,0,0,True,True
symmetric_pauli,2,16,0.1,16,4,4.0,0.142251528748259,0.142251528748259,0.142251528748259,1,15,15,0,0,True,False
symmetric_pauli,2,32,0.01,32,5,6.4,0.007465491985860868,0.0074654919858608395,0.0074654919858608395,1,31,31,0,0,True,True
symmetric_pauli,2,32,0.1,32,5,6.4,0.13356859018190154,0.1335685901819015,0.1335685901819015,1,31,31,0,0,True,False
symmetric_pauli,2,64,0.01,64,6,10.666666666666666,0.007214585445694165,0.007214585445694301,0.007214585445694301,1,63,63,0,0,True,True
symmetric_pauli,2,64,0.1,64,6,10.666666666666666,0.12675829630077037,0.12675829630077057,0.12675829630077057,1,63,63,0,0,True,False
symmetric_pauli,2,128,0.01,128,7,18.285714285714285,0.007083847849738761,0.007083847849738761,0.007083847849738761,1,127,127,0,0,True,True
symmetric_pauli,2,128,0.1,128,7,18.285714285714285,0.12150455322775612,0.12150455322775605,0.12150455322775605,1,127,127,0,0,True,False
symmetric_pauli,2,256,0.01,256,8,32.0,0.007015775147674845,0.007015775147674824,0.007015775147674824,1,255,255,0,0,True,True
symmetric_pauli,2,256,0.1,256,8,32.0,0.11750450903662919,0.11750450903662939,0.11750450903662939,1,255,255,0,0,True,False
pure_dephasing,2,8,0.01,8,3,2.6666666666666665,0.018649853749317668,0.020512270439687702,0.020512270439687702,1,7,7,0,0,False,False
pure_dephasing,2,8,0.1,8,3,2.6666666666666665,0.20495868962193908,0.06853041465478917,0.06853041465478917,1,7,7,0,0,False,True
pure_dephasing,2,8,0.5,8,3,2.6666666666666665,0.5042430969650602,0.5004126721471777,0.5004126721471777,1,7,7,0,0,False,False
pure_dephasing,2,8,0.7,8,3,2.6666666666666665,0.29677451548383715,0.47090299193418883,0.47090299193418883,1,7,7,0,0,True,True
pure_dephasing,2,16,0.01,16,4,4.0,0.022445838652207246,0.025073550878341618,0.025073550878341618,1,15,15,0,0,False,False
pure_dephasing,2,16,0.1,16,4,4.0,0.03962972413758437,0.2164223075403979,0.2164223075403979,1,15,15,0,0,False,False
pure_dephasing,2,16,0.5,16,4,4.0,0.15109705282120137,0.5199666709049994,0.5199666709049994,1,15,15,0,0,False,False
pure_dephasing,2,16,0.7,16,4,4.0,0.4750152818401869,0.5294678998640131,0.5294678998640131,1,15,15,0,0,True,True
pure_dephasing,2,32,0.01,32,5,6.4,0.012284986597683466,0.01820821011989716,0.01820821011989716,1,31,31,0,0,False,False
pure_dephasing,2,32,0.1,32,5,6.4,0.23285461193710968,0.29303929859488825,0.29303929859488825,1,31,31,0,0,False,False
pure_dephasing,2,32,0.5,32,5,6.4,0.5458532531015837,0.4520175936420296,0.4520175936420296,1,31,31,0,0,False,False
pure_dephasing,2,32,0.7,32,5,6.4,0.18038551515888032,0.48052218052958223,0.48052218052958223,1,31,31,0,0,True,True
pure_dephasing,2,64,0.01,64,6,10.666666666666666,0.028906791032282036,0.010935289570947727,0.010935289570947727,1,63,63,0,0,False,False
pure_dephasing,2,64,0.1,64,6,10.666666666666666,0.31109276078297216,0.3310160686156895,0.3310160686156895,1,63,63,0,0,False,False
pure_dephasing,2,64,0.5,64,6,10.666666666666666,0.5004795262375256,0.34279131472808294,0.34279131472808294,1,63,63,0,0,False,True
pure_dephasing,2,64,0.7,64,6,10.666666666666666,0.4677112826964075,0.5524006305737877,0.5524006305737877,1,63,63,0,0,True,True
pure_dephasing,2,128,0.01,128,7,18.285714285714285,0.03282685965583225,0.008904772247145996,0.008904772247145996,1,127,127,0,0,False,True
pure_dephasing,2,128,0.1,128,7,18.285714285714285,0.36698746783993547,0.37261541002690474,0.37261541002690474,1,127,127,0,0,False,False
pure_dephasing,2,128,0.5,128,7,18.285714285714285,0.5253459225984445,0.5098588343886853,0.5098588343886853,1,127,127,0,0,False,False
pure_dephasing,2,128,0.7,128,7,18.285714285714285,0.4838559849995181,0.2859632001856001,0.2859632001856001,1,127,127,0,0,True,True
pure_dephasing,2,256,0.01,256,8,32.0,0.03361010941228042,0.018900299903967598,0.018900299903967598,1,255,255,0,0,False,False
pure_dephasing,2,256,0.1,256,8,32.0,0.22405722673566555,0.2587549042344581,0.2587549042344581,1,255,255,0,0,False,False
pure_dephasing,2,256,0.5,256,8,32.0,0.5709709406151471,0.5658714355672891,0.5658714355672891,1,255,255,0,0,False,False
pure_dephasing,2,256,0.7,256,8,32.0,0.15777060258338804,0.4059837033962002,0.4059837033962002,1,255,255,0,0,True,True
