noise_type,dimension,N,physical_error_rate,iterations,logical_errors,fidelities,purities,success_probabilities,amplification_iterations,total_swap_operations,total_amplification_iterations,memory_levels_used,theoretical_predictions
depolarizing,4,64,0.5,"[0, 1, 2, 3, 4, 5, 6]","[0.375, 0.2934782608695652, 0.21087225487163622, 0.13782499329979983, 0.0823905493372264, 0.045900703786780045, 0.024386607073578093]","[0.625, 0.7065217391304348, 0.7891277451283638, 0.8621750067002002, 0.9176094506627737, 0.95409929621322, 0.9756133929264219]","[0.5, 0.6086956521739131, 0.718836993504485, 0.8162333422669336, 0.8901459342170315, 0.9387990616176266, 0.9674845239018959]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10, 10, 10]",63,0,6,"[0.375, 0.2934782608695652, 0.21087225487163622, 0.13782499329979983, 0.0823905493372264, 0.045900703786780045, 0.024386607073578093]"
depolarizing,4,64,0.8,"[0, 1, 2, 3, 4, 5, 6]","[0.6000000000000001, 0.5625, 0.5150602409638555, 0.45594686480410174, 0.38471155781647326, 0.30397196625194534, 0.2209342255635595]","[0.39999999999999997, 0.43749999999999994, 0.4849397590361445, 0.5440531351958983, 0.6152884421835267, 0.6960280337480547, 0.7790657744364405]","[0.19999999999999996, 0.24999999999999994, 0.31325301204819267, 0.3920708469278643, 0.48705125624470236, 0.5947040449974063, 0.7054210325819207]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10, 10, 10]",63,0,6,"[0.6000000000000001, 0.5625, 0.5150602409638555, 0.45594686480410174, 0.38471155781647326, 0.30397196625194534, 0.2209342255635595]"
depolarizing,4,64,0.9,"[0, 1, 2, 3, 4, 5, 6]","[0.675, 0.6575546719681908, 0.6355509695067356, 0.6076639473702233, 0.5722332162454286, 0.5273316301611184, 0.4711044879429883]","[0.32499999999999996, 0.3424453280318091, 0.3644490304932644, 0.3923360526297766, 0.42776678375457144, 0.4726683698388817, 0.5288955120570116]","[0.09999999999999998, 0.1232604373757455, 0.15259870732435254, 0.18978140350636882, 0.2370223783394286, 0.2968911597851756, 0.3718606827426822]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10, 10, 10]",63,0,6,"[0.675, 0.6575546719681908, 0.6355509695067356, 0.6076639473702233, 0.5722332162454286, 0.5273316301611184, 0.4711044879429883]"
depolarizing,4,64,0.95,"[0, 1, 2, 3, 4, 5, 6]","[0.7124999999999999, 0.704318522216675, 0.694193488715597, 0.6815984203266767, 0.6658427602121828, 0.646019541543922, 0.6209454357570008]","[0.28750000000000003, 0.29568147778332504, 0.3058065112844029, 0.31840157967332333, 0.3341572397878171, 0.353980458456078, 0.37905456424299927]","[0.050000000000000044, 0.06090863704443341, 0.07440868171253721, 0.09120210623109776, 0.1122096530504228, 0.13864061127477068, 0.17207275232399902]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10, 10, 10]",63,0,6,"[0.7124999999999999, 0.704318522216675, 0.694193488715597, 0.6815984203266767, 0.6658427602121828, 0.646019541543922, 0.6209454357570008]"
depolarizing,4,64,0.99,"[0, 1, 2, 3, 4, 5, 6]","[0.7424999999999999, 0.7409705417674939, 0.7391221128711696, 0.7368850822757064, 0.7341732685241725, 0.7308794387168958, 0.7268693622294538]","[0.2575, 0.25902945823250606, 0.2608778871288305, 0.2631149177242937, 0.26582673147582747, 0.2691205612831042, 0.2731306377705463]","[0.010000000000000009, 0.012039277643341409, 0.01450384950510729, 0.017486556965724896, 0.021102308634436632, 0.0254940817108056, 0.030840850360728412]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10, 10, 10, 10]",63,0,6,"[0.7424999999999999, 0.7409705417674939, 0.7391221128711696, 0.7368850822757064, 0.7341732685241725, 0.7308794387168958, 0.7268693622294538]"
symmetric_pauli,2,8,0.1,"[0, 1, 2, 3]","[0.0666666666666667, 0.014666666666666653, 0.003226666666666674, 0.000709866666666647]","[0.9333333333333336, 0.9853333333333336, 0.9967733333333337, 0.9992901333333337]","[0.8666666666666669, 0.970666666666667, 0.9935466666666669, 0.998580266666667]","[0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10]",7,0,3,"[0.04999999999999999, 0.004999999999999949, 0.0, 0.0]"
symmetric_pauli,2,8,0.2,"[0, 1, 2, 3]","[0.13333333333333336, 0.03200000000000003, 0.0076800000000000245, 0.0018431999999999767]","[0.866666666666667, 0.9680000000000004, 0.9923200000000004, 0.9981568000000005]","[0.7333333333333337, 0.9360000000000004, 0.9846400000000004, 0.9963136000000006]","[0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10]",7,0,3,"[0.09999999999999998, 0.05999999999999994, 0.015999999999999903, 0.0]"
symmetric_pauli,2,8,0.5,"[0, 1, 2, 3]","[0.33333333333333326, 0.1, 0.030000000000000013, 0.009]","[0.6666666666666665, 0.8999999999999998, 0.9699999999999998, 0.9909999999999998]","[0.33333333333333326, 0.7999999999999998, 0.9399999999999997, 0.9819999999999998]","[0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10]",7,0,3,"[0.25, 0.22499999999999998, 0.19749999999999995, 0.1672499999999999]"
symmetric_pauli,2,8,0.8,"[0, 1, 2, 3]","[0.5333333333333334, 0.1920000000000001, 0.06912000000000003, 0.024883200000000036]","[0.4666666666666666, 0.808, 0.93088, 0.9751168000000001]","[0.06666666666666671, 0.6159999999999999, 0.8617600000000001, 0.9502336]","[0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10]",7,0,3,"[0.4, 0.39, 0.379, 0.3669]"
symmetric_pauli,2,8,0.9,"[0, 1, 2, 3]","[0.6, 0.22799999999999992, 0.08663999999999994, 0.03292319999999996]","[0.4, 0.7720000000000001, 0.9133600000000001, 0.9670768000000001]","[0.19999999999999993, 0.5440000000000002, 0.8267200000000002, 0.9341536000000001]","[0.5, 0.5, 0.5, 0.5]","[10, 10, 10, 10]",7,0,3,"[0.45, 0.445, 0.4395, 0.43345]"
