noise_type,dimension,N,physical_error_rate,total_states_processed,output_states_count,max_stack_depth_used,theoretical_memory_bound,memory_efficiency,total_swap_operations,total_amplification_iterations,best_output_error,worst_output_error,average_output_error,memory_improvement_vs_batch,output_error_levels,convergence_achieved,noise_model_name
depolarizing,2,1024,0.01,0,1,10,11,10.0,1023,0,4.981854809738007e-06,4.981854809738007e-06,4.981854809738007e-06,102.4,[10],True,Depolarizing_d2_delta0.010
depolarizing,2,1024,0.1,0,1,10,11,10.0,1023,0,6.027611224501683e-05,6.027611224501683e-05,6.027611224501683e-05,102.4,[10],True,Depolarizing_d2_delta0.100
depolarizing,2,1024,0.5,0,1,10,11,10.0,1023,0,0.0009982063527181895,0.0009982063527181895,0.0009982063527181895,102.4,[10],True,Depolarizing_d2_delta0.500
depolarizing,2,1024,0.7,0,1,10,11,10.0,1023,0,0.004117740283329063,0.004117740283329063,0.004117740283329063,102.4,[10],True,Depolarizing_d2_delta0.700
depolarizing,2,1024,0.8,0,1,10,11,10.0,1023,0,0.011228994548319826,0.011228994548319826,0.011228994548319826,102.4,[10],True,Depolarizing_d2_delta0.800
depolarizing,2,1024,0.9,0,1,10,11,10.0,1023,0,0.05177792951070592,0.05177792951070592,0.05177792951070592,102.4,[10],True,Depolarizing_d2_delta0.900
depolarizing,2,1024,0.95,0,1,10,11,10.0,1023,0,0.15930499054739888,0.15930499054739888,0.15930499054739888,102.4,[10],True,Depolarizing_d2_delta0.950
depolarizing,2,1024,0.99,0,1,10,11,10.0,1023,0,0.41238600404351783,0.41238600404351783,0.41238600404351783,102.4,[10],True,Depolarizing_d2_delta0.990
depolarizing,4,8,0.01,0,1,3,4,3.0,7,0,0.000954118775006868,0.000954118775006868,0.000954118775006868,2.6666666666666665,[3],True,Depolarizing_d4_delta0.010
depolarizing,4,8,0.1,0,1,3,4,3.0,7,0,0.011251116871142247,0.011251116871142247,0.011251116871142247,2.6666666666666665,[3],True,Depolarizing_d4_delta0.100
depolarizing,4,8,0.5,0,1,3,4,3.0,7,0,0.13782499329979983,0.13782499329979983,0.13782499329979983,2.6666666666666665,[3],True,Depolarizing_d4_delta0.500
depolarizing,4,8,0.7,0,1,3,4,3.0,7,0,0.3198921915759523,0.3198921915759523,0.3198921915759523,2.6666666666666665,[3],True,Depolarizing_d4_delta0.700
depolarizing,4,8,0.8,0,1,3,4,3.0,7,0,0.45594686480410174,0.45594686480410174,0.45594686480410174,2.6666666666666665,[3],True,Depolarizing_d4_delta0.800
depolarizing,4,8,0.9,0,1,3,4,3.0,7,0,0.6076639473702233,0.6076639473702233,0.6076639473702233,2.6666666666666665,[3],True,Depolarizing_d4_delta0.900
depolarizing,4,8,0.95,0,1,3,4,3.0,7,0,0.6815984203266767,0.6815984203266767,0.6815984203266767,2.6666666666666665,[3],True,Depolarizing_d4_delta0.950
depolarizing,4,8,0.99,0,1,3,4,3.0,7,0,0.7368850822757064,0.7368850822757064,0.7368850822757064,2.6666666666666665,[3],True,Depolarizing_d4_delta0.990
depolarizing,4,16,0.01,0,1,4,5,4.0,15,0,0.0004776665720273854,0.0004776665720273854,0.0004776665720273854,4.0,[4],True,Depolarizing_d4_delta0.010
depolarizing,4,16,0.1,0,1,4,5,4.0,15,0,0.005710423099096612,0.005710423099096612,0.005710423099096612,4.0,[4],True,Depolarizing_d4_delta0.100
depolarizing,4,16,0.5,0,1,4,5,4.0,15,0,0.0823905493372264,0.0823905493372264,0.0823905493372264,4.0,[4],True,Depolarizing_d4_delta0.500
depolarizing,4,16,0.7,0,1,4,5,4.0,15,0,0.23652883522973522,0.23652883522973522,0.23652883522973522,4.0,[4],True,Depolarizing_d4_delta0.700
depolarizing,4,16,0.8,0,1,4,5,4.0,15,0,0.38471155781647326,0.38471155781647326,0.38471155781647326,4.0,[4],True,Depolarizing_d4_delta0.800
depolarizing,4,16,0.9,0,1,4,5,4.0,15,0,0.5722332162454286,0.5722332162454286,0.5722332162454286,4.0,[4],True,Depolarizing_d4_delta0.900
depolarizing,4,16,0.95,0,1,4,5,4.0,15,0,0.6658427602121828,0.6658427602121828,0.6658427602121828,4.0,[4],True,Depolarizing_d4_delta0.950
depolarizing,4,16,0.99,0,1,4,5,4.0,15,0,0.7341732685241725,0.7341732685241725,0.7341732685241725,4.0,[4],True,Depolarizing_d4_delta0.990
depolarizing,4,32,0.01,0,1,5,6,5.0,31,0,0.00023898543257283578,0.00023898543257283578,0.00023898543257283578,6.4,[5],True,Depolarizing_d4_delta0.010
